Obs,Inputfile,YEAR,AUTHOR,AUTHOR_t,GENDER,Gender,AUTHORS,Par_per_doc,Zin_per_doc,Word_per_doc,Alpino_status,Let_per_wrd_zn,Morf_per_wrd_zn,Let_per_wrd_nsam,Wrd_freq_zn_log,Conc_bvnw_ruim_p,Conc_nw_ruim_p,Conc_ww_p,Alg_nw_p,Alg_ww_p,Pv_Frog_per_zin,Bijw_bep_dz,Bijv_bep_dz,Bijzin_per_zin,D_level,Wrd_per_dz,Mv_inbed_per_zin,MTLD_lem,Namen_p,Abstr_ww_p
1,input/GID_1980_14_ Balk-Smit Duyzenkunst.txt,1980, Balk-Smit Duyzenkunst ,Balk-Smit Duyzenkunst,F,F,F.30,1,27,492,0,5.14768,1.39662,8.325,4.40499,0.025641,0.336842,0,0.231579,0.226667,1.88889,1.01724,1.24138,1.03704,3.11111,8.48276,0.259259,93.166,0.162162,0.813333
2,input/NIE_1950_94_Achterberg.txt,1950,Achterberg ,Achterberg,M,M,M.3,1,50,634,2,4.41357,1.30856,6.11881,4.43849,0.302326,0.659794,0.0852713,0.0103093,0.0465116,1.7,0.91954,0.517241,NA,2.28,7.28736,NA,22.6871,0.121951,0.674419
3,input/GEM_1932_74_Anton van Duinkerken.txt,1932,Anton van Duinkerken ,Anton van Duinkerken,M,M,M.19,1,29,766,1,4.5648,1.28649,6.08442,3.91996,0.276596,0.753333,0.123077,0,0.0692308,3.41379,0.901099,0.945055,NA,4.17241,8.41758,NA,64.4426,0.169231,0.576923
4,input/GEM_1940_17_Anton van Duinkerken.txt,1940,Anton van Duinkerken ,Anton van Duinkerken,M,M,M.19,1,31,775,0,5.27299,1.43966,8.16552,4.17095,0.037037,0.424581,0.019802,0.162011,0.188119,2,0.861538,2.27692,1.22581,2.35484,11.9231,0.225806,81.7629,0.344978,0.732673
5,input/GID_1887_90_Bellaar Spruyt.txt,1887,Bellaar Spruyt ,Bellaar Spruyt,M,M,M.27,1,15,552,0,4.94129,1.40341,6.99,4.28201,0.209302,0.336364,0.0434783,0.218182,0.144928,2.53333,1.34211,2.55263,1.73333,4.4,14.5263,0.4,72.3829,0.181818,0.811594
6,input/GID_1906_73_Belpaire.txt,1906,Belpaire ,Belpaire,F,F,F.22,1,16,468,1,5.14534,1.46855,7.56863,3.88133,0.0714286,0.266667,0.0153846,0.244444,0.138462,2.375,1,2.74286,NA,3.6875,13.3714,NA,11.766,0.0608696,0.892308
7,input/GID_1994_4_Beurskens.txt,1994,Beurskens ,Beurskens,M,M,M.17,1,48,780,1,4.75686,1.38693,6.74419,4.47312,0.179104,0.50625,0.0840336,0.1125,0.201681,1.54167,1,1.07317,NA,2.60417,9.5122,NA,40.5701,0.0887574,0.663866
8,input/GID_1887_8_Boddaert.txt,1887,Boddaert ,Boddaert,F,F,F.8,1,25,562,0,4.77737,1.38321,6.17986,3.10663,0.53125,0.495652,0.256757,0.00869565,0.0675676,2,0.867925,1.66038,0.56,2.32,10.6038,0,106.181,0.0869565,0.378378
9,input/GID_1893_111_Boddaert.txt,1893,Boddaert ,Boddaert,F,F,F.8,1,41,538,0,4.36699,1.27961,5.63542,3.90867,0.297297,0.506494,0.0531915,0,0.0744681,1.68293,0.693333,1.05333,0.609756,1.80488,7.17333,0.0243902,78.4924,0.190083,0.617021
10,input/GID_1990_44_Boheemen-Saaf.txt,1990,Boheemen-Saaf ,Boheemen-Saaf,F,F,F.17,1,30,638,1,5.04886,1.34365,7.15,4.40258,0.0862069,0.268116,0.0352941,0.268116,0.247059,1.73333,0.980769,2.23077,NA,2.7,12.2692,NA,25.0196,0.157895,0.776471
